name,school_url,issc_id
OneSchool Global UK Biggleswade Campus,https://www.oneschoolglobal.com/campus/united-kingdom/biggleswade/,1
Esland School Bedford,https://www.eslandcare.co.uk,2
OneSchool Global UK Dunstable Campus,https://www.oneschoolglobal.com/campus/united-kingdom/dunstable/,3
Orchard School and Nursery,https://www.orchardschool.org.uk,4
Polam School,https://www.polamschool.co.uk,5
Pilgrims Pre-Preparatory School,https://www.pilgrims-school.info,6
Bedford School,https://www.bedfordschool.org.uk,7
Bedford Modern School,https://www.bedmod.co.uk,8
Bedford Greenacre Independent School,https://www.bedfordgreenacre.co.uk,9
Bedford Girls' School,https://www.bedfordgirlsschool.co.uk,10
Al Hikmah Girls School,https://www.alhikmahschool.com/girls/,11
Thorngrove School,https://www.thorngroveschool.co.uk,12
Highfield Preparatory School,https://www.highfieldprep.org,13
St Piran's School,https://www.stpirans.co.uk,14
Brockhurst and Marlston House School,https://www.brockmarl.org.uk,15
Horris Hill,https://www.horrishill.com,16
St Gabriel's School,https://www.stgabriels.co.uk,17
St John's Beaumont,https://www.sjbwindsor.uk,18
Caversham Preparatory School,https://www.cavershamschool.com,19
Crosfields School,https://www.crosfields.com,20
Herries School,https://www.herries.org.uk,21
Elstree School,https://www.elstreeschool.org.uk,22
Meadowbrook Montessori School,https://www.meadowbrook.uk,23
Dolphin School,https://www.dolphinschool.com,24
Claires Court,https://www.clairescourt.com,25
Beech Lodge School,https://www.beechlodgeschool.co.uk,26
Eton End School,https://www.etonend.org,27
Hemdean House School,https://www.hemdeanhouse.co.uk,29
Lambrook,https://www.lambrookschool.co.uk,32
The Marist School,https://www.themarist.com,33
Papplewick,https://www.papplewick.org.uk,36
LVS Ascot,https://www.lvs.ascot.sch.uk,37
Eagle House School,https://www.eaglehouseschool.com,39
Waverley Preparatory School & Day Nursery,https://www.waverleyschool.co.uk,40
"Reddam House, Berkshire",https://www.reddamhouse.org.uk,41
Ludgrove School,https://www.ludgrove.net,42
Upton House School,https://www.uptonhouse.org.uk,44
St George's School,https://www.stgwindsor.org,45
Cheam School,https://www.cheamschool.com,48
Sunningdale School,https://www.sunningdaleschool.co.uk,49
St Bernard's Prep School,https://www.stbernardsprep.org,50
Islamic Shakhsiyah,https://www.shakhsiyahschools.uk,52
Trinity Christian School,https://www.trinitychristianschool.org.uk,54
The Abbey School,https://www.theabbey.co.uk,55
St Joseph's College,https://www.sjcr.org.uk,56
St Edward's Prep,https://www.stedwardsprep.com,57
St Andrew's School,https://www.standrewspangbourne.co.uk,58
"The King's House School, Windsor",https://www.kingshouseschool.org.uk,60
OneSchool Global Reading Campus (Primary),https://www.oneschoolglobal.com/campus/united-kingdom/readingprimary,65
Long Close School,https://www.longcloseschool.co.uk,66
Holme Grange,https://www.holmegrange.org,67
Badminton School,https://www.badmintonschool.co.uk,68
Belgrave School,https://www.belgrave-school.website,69
BGS Infants and Juniors,https://www.bristolgrammarschool.co.uk,70
Cleve House School,https://www.clevehouseschool.com,73
Clifton High School,https://www.cliftonhigh.co.uk,74
Colston's Lower School,https://www.colstons.org/lower-school,75
Fairfield School,https://www.fairfield.school,77
Queen Elizabeth's Hospital,https://www.qehbristol.co.uk,78
Redmaids’ High Junior School,https://www.redmaidshigh.co.uk/junior,80
Tockington Manor School,https://www.tockingtonmanorschool.com,81
Torwood House School and Nursery,https://www.torwoodhouseschool.co.uk,82
Clifton College,https://www.cliftoncollege.com,83
The Downs Preparatory School,https://www.thedownsschool.co.uk,84
The Webber Independent School,https://www.webberindependentschool.com,85
Gateway School,https://www.gatewayschool-bucks.co.uk,86
Caldicott Preparatory School,https://www.caldicott.com,87
Chesham Preparatory School,https://www.cheshamprep.co.uk,88
Beachborough Prep School,https://www.beachborough.com,90
Thornton College,https://www.thorntoncollege.com,93
Godstowe School,https://www.godstowe.org,94
The Grove Independent School,https://www.groveindependentschool.co.uk,95
High March School,https://www.highmarch.co.uk,97
Davenies School,https://www.davenies.co.uk,98
Griffin House Preparatory School,https://www.griffinhouseschool.co.uk,99
Ashfold School,https://www.ashfoldschool.co.uk,100
Thorpe House School,https://www.thorpehouse.co.uk,101
Dair House School,https://www.dairhouseschool.co.uk,102
Maltman's Green School,https://www.maltmansgreen.com,103
Swanbourne House School,https://www.swanbourne.org,104
Heatherton School,https://www.berkhamsted.com/heatherton/,105
Gayhurst School,https://www.gayhurstschool.co.uk,106
Pipers Corner School,https://www.piperscorner.co.uk,107
"St Mary's School, Gerrards Cross",https://www.stmarysschool.co.uk,108
The Beacon School,https://www.beaconschool.co.uk,109
Milton Keynes Preparatory School,https://www.mkprep.co.uk,110
Broughton Manor Preparatory School,https://www.bmprep.co.uk,111
Akeley Wood Junior School,https://www.akeleywoodschool.co.uk,112
The Peterborough School,https://www.thepeterboroughschool.co.uk,114
King's College School Cambridge,https://www.kcs.cambs.sch.uk,116
Heritage School,https://www.heritageschool.org.uk,118
Oaks International School,https://www.oaksinternationalschool.co.uk,119
Kimbolton School,https://www.kimbolton.cambs.sch.uk,120
Park House School,https://www.parkhouseschool.co.uk,121
Wisbech Grammar School,https://www.wisbechgrammar.com,122
Whitehall School,https://www.whitehallschool.com,124
St Faith's School,https://www.stfaiths.co.uk,125
Stephen Perse Foundation,https://www.stephenperse.com,127
St John's College School,https://www.sjcs.co.uk,128
